date,hour,day_of_week,road_id,road_name,jurisdiction,capacity_vph,inflow_vph,avg_speed_kmh,occupancy_percent,rain_mm,temperature_c,humidity_percent,special_event,congestion_percent
2025-01-29,17,2,RD-04,Airport Road,NMC South,5600,5709,29.7,104.6,0.1,29.5,69.4,0,59.7
2025-01-29,17,2,RD-05,Amravati Road,NMC West,7200,2032,49.5,23.4,0.0,26.9,68.5,0,12.5
2025-01-29,17,2,RD-06,Kamptee Road,NMC North,6000,3048,40.9,50.2,0.0,23.2,69.5,0,25.6
2025-01-29,17,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1592,47.6,29.7,0.0,35.0,79.5,0,19.3
2025-01-29,17,2,RD-08,Katol Road,NMC North-West,5400,2177,43.0,46.5,1.8,30.7,71.9,0,25.8
2025-01-29,17,2,RD-09,Koradi Road,NMC North,5600,2996,42.7,57.1,2.6,26.2,41.2,0,34.1
2025-01-29,17,2,RD-10,Manewada Road,NMC South-East,5000,4087,36.7,79.7,0.0,29.6,93.0,0,49.6
2025-01-29,17,2,RD-11,Besa Road,NMC South-East,4600,2809,45.3,64.3,1.0,28.2,54.6,0,41.0
2025-01-29,17,2,RD-12,Ring Road - East,NMRDA Ring,7600,2602,47.7,29.2,1.9,27.6,61.5,0,14.5
2025-01-29,18,2,RD-01,Wardha Road (NH-44),NMC South,6000,6464,32.3,109.1,0.0,29.6,32.5,0,63.7
2025-01-29,18,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2751,47.6,29.7,0.0,30.7,72.2,0,18.3
2025-01-29,18,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3956,34.7,77.5,0.0,28.4,95.0,0,45.5
2025-01-29,18,2,RD-04,Airport Road,NMC South,5600,6318,28.9,110.0,4.3,33.2,60.6,0,62.6
2025-01-29,18,2,RD-05,Amravati Road,NMC West,7200,2471,45.9,32.9,0.0,23.8,56.2,0,17.2
2025-01-29,18,2,RD-06,Kamptee Road,NMC North,6000,4097,36.7,68.8,0.0,28.2,87.0,0,39.1
2025-01-29,18,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,2131,47.1,42.3,0.0,23.2,84.4,0,25.0
2025-01-29,18,2,RD-08,Katol Road,NMC North-West,5400,3131,44.0,58.3,0.0,27.1,59.4,0,34.6
2025-01-29,18,2,RD-09,Koradi Road,NMC North,5600,4068,40.7,74.4,2.1,25.1,92.8,0,47.3
2025-01-29,18,2,RD-10,Manewada Road,NMC South-East,5000,4643,36.2,93.6,0.5,30.8,42.4,0,51.7
2025-01-29,18,2,RD-11,Besa Road,NMC South-East,4600,3955,38.9,85.8,0.0,30.1,72.3,0,48.1
2025-01-29,18,2,RD-12,Ring Road - East,NMRDA Ring,7600,3378,37.8,48.1,0.2,30.1,63.7,0,29.5
2025-01-29,19,2,RD-01,Wardha Road (NH-44),NMC South,6000,6446,24.8,106.4,4.2,28.5,43.9,0,64.4
2025-01-29,19,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2908,46.2,29.6,0.0,27.9,76.1,0,16.8
2025-01-29,19,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4708,35.3,93.8,0.0,19.9,63.9,0,51.9
2025-01-29,19,2,RD-04,Airport Road,NMC South,5600,6724,22.6,110.0,2.2,25.0,82.4,0,70.1
2025-01-29,19,2,RD-05,Amravati Road,NMC West,7200,2405,45.9,32.1,0.0,27.5,36.4,0,14.4
2025-01-29,19,2,RD-06,Kamptee Road,NMC North,6000,3800,41.7,60.7,3.9,31.0,75.1,0,35.8
2025-01-29,19,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1895,49.1,40.6,0.0,30.6,53.6,0,22.2
2025-01-29,19,2,RD-08,Katol Road,NMC North-West,5400,3041,40.8,54.5,0.2,29.7,71.1,0,34.6
2025-01-29,19,2,RD-09,Koradi Road,NMC North,5600,4184,36.8,76.1,0.0,18.6,65.7,0,45.8
2025-01-29,19,2,RD-10,Manewada Road,NMC South-East,5000,4929,34.8,93.8,0.0,25.3,72.6,0,55.4
2025-01-29,19,2,RD-11,Besa Road,NMC South-East,4600,3488,41.8,80.7,0.0,29.6,72.9,0,49.5
2025-01-29,19,2,RD-12,Ring Road - East,NMRDA Ring,7600,3009,41.2,41.0,4.3,25.0,43.8,0,21.1
2025-01-29,20,2,RD-01,Wardha Road (NH-44),NMC South,6000,6268,29.2,106.3,0.0,24.3,55.8,0,64.2
2025-01-29,20,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2887,41.9,37.6,0.0,20.9,39.8,0,22.1
2025-01-29,20,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4222,39.4,84.0,2.1,29.0,61.0,0,49.1
2025-01-29,20,2,RD-04,Airport Road,NMC South,5600,7047,23.5,110.0,0.0,35.8,84.2,0,68.0
2025-01-29,20,2,RD-05,Amravati Road,NMC West,7200,2425,43.1,30.2,3.9,22.2,60.2,0,21.8
2025-01-29,20,2,RD-06,Kamptee Road,NMC North,6000,3834,41.0,65.5,0.0,31.6,72.5,0,38.5
2025-01-29,20,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,2266,46.1,50.6,0.0,29.9,53.2,0,27.4
2025-01-29,20,2,RD-08,Katol Road,NMC North-West,5400,3069,43.2,55.4,0.0,25.0,70.4,0,32.0
2025-01-29,20,2,RD-09,Koradi Road,NMC North,5600,4129,31.6,71.8,0.0,26.9,67.3,0,43.5
2025-01-29,20,2,RD-10,Manewada Road,NMC South-East,5000,5479,27.9,107.9,0.0,29.5,54.0,0,69.6
2025-01-29,20,2,RD-11,Besa Road,NMC South-East,4600,3692,42.5,83.6,0.0,34.6,63.5,0,51.5
2025-01-29,20,2,RD-12,Ring Road - East,NMRDA Ring,7600,3378,38.1,39.9,1.6,23.6,58.4,1,22.6
2025-01-29,21,2,RD-01,Wardha Road (NH-44),NMC South,6000,5044,32.0,81.6,0.0,27.1,67.4,0,46.6
2025-01-29,21,2,RD-02,Outer Ring Road,NMRDA Ring,8500,2252,49.7,27.3,0.0,33.8,76.1,0,16.9
2025-01-29,21,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3804,39.9,70.9,0.0,27.6,52.4,0,46.3
2025-01-29,21,2,RD-04,Airport Road,NMC South,5600,5322,40.0,95.5,0.4,34.4,59.4,0,52.4
2025-01-29,21,2,RD-05,Amravati Road,NMC West,7200,2036,50.8,30.5,0.0,25.0,58.1,0,18.2
2025-01-29,21,2,RD-06,Kamptee Road,NMC North,6000,3124,38.5,49.1,0.0,29.4,42.7,1,32.1
2025-01-29,21,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1664,50.0,37.9,0.0,27.0,32.2,0,25.4
2025-01-29,21,2,RD-08,Katol Road,NMC North-West,5400,2460,44.3,47.3,1.6,29.3,73.1,0,29.9
2025-01-29,21,2,RD-09,Koradi Road,NMC North,5600,3477,43.1,66.5,0.0,27.0,57.8,0,45.9
2025-01-29,21,2,RD-10,Manewada Road,NMC South-East,5000,4031,39.7,79.9,0.0,34.5,46.8,0,46.2
2025-01-29,21,2,RD-11,Besa Road,NMC South-East,4600,3050,40.8,66.8,0.0,24.8,37.6,0,41.5
2025-01-29,21,2,RD-12,Ring Road - East,NMRDA Ring,7600,2443,44.2,36.2,2.8,27.4,36.6,0,16.8
2025-01-29,22,2,RD-01,Wardha Road (NH-44),NMC South,6000,3130,45.7,56.9,0.9,28.0,55.0,0,32.8
2025-01-29,22,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1508,50.0,15.3,4.5,29.4,26.1,0,10.6
2025-01-29,22,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2291,50.1,42.2,2.5,26.3,50.2,0,23.8
2025-01-29,22,2,RD-04,Airport Road,NMC South,5600,3435,45.7,61.4,0.0,31.5,64.8,0,35.6
2025-01-29,22,2,RD-05,Amravati Road,NMC West,7200,1204,54.2,18.8,0.0,29.2,77.7,0,9.1
2025-01-29,22,2,RD-06,Kamptee Road,NMC North,6000,2201,43.5,37.0,0.0,31.5,61.8,0,22.4
2025-01-29,22,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1054,50.9,22.4,2.9,25.1,42.8,0,16.0
2025-01-29,22,2,RD-08,Katol Road,NMC North-West,5400,1696,49.8,34.7,0.2,24.5,65.9,0,18.6
2025-01-29,22,2,RD-09,Koradi Road,NMC North,5600,2211,49.9,43.2,0.0,25.3,77.9,0,21.9
2025-01-29,22,2,RD-10,Manewada Road,NMC South-East,5000,2739,46.1,55.1,0.0,25.6,52.3,0,32.8
2025-01-29,22,2,RD-11,Besa Road,NMC South-East,4600,1806,48.6,33.8,0.6,26.8,74.9,0,15.1
2025-01-29,22,2,RD-12,Ring Road - East,NMRDA Ring,7600,1571,51.2,20.7,2.6,31.3,57.4,0,13.4
2025-01-29,23,2,RD-01,Wardha Road (NH-44),NMC South,6000,3021,45.5,49.9,1.6,27.4,77.8,0,25.7
2025-01-29,23,2,RD-02,Outer Ring Road,NMRDA Ring,8500,1400,49.4,17.4,0.6,32.1,91.0,0,6.0
2025-01-29,23,2,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2318,45.5,44.3,0.0,21.0,95.0,0,26.7
2025-01-29,23,2,RD-04,Airport Road,NMC South,5600,3527,40.4,63.7,0.0,26.5,62.0,0,38.1
2025-01-29,23,2,RD-05,Amravati Road,NMC West,7200,1266,53.2,24.3,0.2,22.1,57.0,0,13.1
2025-01-29,23,2,RD-06,Kamptee Road,NMC North,6000,1971,49.7,34.6,0.0,31.0,62.5,0,25.0
2025-01-29,23,2,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1016,51.8,23.7,4.6,28.0,55.8,0,13.6
2025-01-29,23,2,RD-08,Katol Road,NMC North-West,5400,1463,48.8,24.9,3.8,30.3,93.4,0,17.9
2025-01-29,23,2,RD-09,Koradi Road,NMC North,5600,2254,45.5,36.3,0.0,19.9,77.1,0,19.2
2025-01-29,23,2,RD-10,Manewada Road,NMC South-East,5000,2777,41.7,51.6,0.0,31.0,71.4,0,28.4
2025-01-29,23,2,RD-11,Besa Road,NMC South-East,4600,1821,48.9,37.8,0.0,22.9,81.1,0,17.5
2025-01-29,23,2,RD-12,Ring Road - East,NMRDA Ring,7600,1591,47.1,22.8,0.0,27.5,56.6,0,17.3
2025-01-30,0,3,RD-01,Wardha Road (NH-44),NMC South,6000,3378,41.5,56.1,0.1,31.2,76.3,0,35.2
2025-01-30,0,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1382,51.8,17.2,2.2,33.8,44.4,0,6.1
2025-01-30,0,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2562,47.6,47.0,0.0,32.2,80.9,0,25.3
2025-01-30,0,3,RD-04,Airport Road,NMC South,5600,3797,39.1,64.1,0.0,32.8,62.1,0,38.2
2025-01-30,0,3,RD-05,Amravati Road,NMC West,7200,1324,52.1,20.0,1.4,31.7,64.1,0,12.5
2025-01-30,0,3,RD-06,Kamptee Road,NMC North,6000,1917,47.2,33.3,0.0,23.0,55.6,0,20.3
2025-01-30,0,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1115,54.9,21.2,0.5,29.3,78.3,0,8.6
2025-01-30,0,3,RD-08,Katol Road,NMC North-West,5400,1747,49.9,26.8,0.0,24.9,50.7,0,10.0
2025-01-30,0,3,RD-09,Koradi Road,NMC North,5600,2085,46.2,33.7,0.0,24.1,73.3,0,22.7
2025-01-30,0,3,RD-10,Manewada Road,NMC South-East,5000,2466,48.9,49.6,1.0,28.4,55.8,0,29.2
2025-01-30,0,3,RD-11,Besa Road,NMC South-East,4600,1901,48.5,43.8,0.0,24.7,62.1,0,24.6
2025-01-30,0,3,RD-12,Ring Road - East,NMRDA Ring,7600,1568,53.3,14.1,0.0,27.9,78.4,0,8.7
2025-01-30,1,3,RD-01,Wardha Road (NH-44),NMC South,6000,3325,41.5,49.8,2.5,27.6,63.2,0,32.8
2025-01-30,1,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1350,53.9,13.0,2.2,32.5,70.1,0,7.3
2025-01-30,1,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2298,45.6,43.0,3.1,31.3,75.1,0,23.7
2025-01-30,1,3,RD-04,Airport Road,NMC South,5600,3455,40.6,58.9,0.1,22.9,55.5,0,33.1
2025-01-30,1,3,RD-05,Amravati Road,NMC West,7200,1245,50.5,18.9,0.4,24.9,68.5,0,9.6
2025-01-30,1,3,RD-06,Kamptee Road,NMC North,6000,2038,47.7,31.9,0.0,13.8,81.2,0,17.4
2025-01-30,1,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1078,55.0,19.4,0.0,26.2,64.4,0,18.9
2025-01-30,1,3,RD-08,Katol Road,NMC North-West,5400,1522,48.3,29.9,4.0,32.5,80.6,0,19.4
2025-01-30,1,3,RD-09,Koradi Road,NMC North,5600,2095,45.6,36.9,1.8,31.3,76.2,0,14.9
2025-01-30,1,3,RD-10,Manewada Road,NMC South-East,5000,2680,42.6,51.8,2.0,24.5,66.7,0,24.0
2025-01-30,1,3,RD-11,Besa Road,NMC South-East,4600,1932,44.8,36.9,0.6,29.3,53.3,0,17.8
2025-01-30,1,3,RD-12,Ring Road - East,NMRDA Ring,7600,1582,50.7,21.2,3.3,29.8,64.2,0,15.1
2025-01-30,2,3,RD-01,Wardha Road (NH-44),NMC South,6000,3452,44.6,53.2,1.4,27.8,57.7,0,27.3
2025-01-30,2,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1463,55.1,16.8,3.6,29.0,90.6,0,10.4
2025-01-30,2,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2326,46.0,43.7,3.2,31.7,60.2,0,30.7
2025-01-30,2,3,RD-04,Airport Road,NMC South,5600,3459,45.2,57.9,2.6,24.4,62.5,0,36.1
2025-01-30,2,3,RD-05,Amravati Road,NMC West,7200,1251,50.0,17.4,0.7,35.6,57.0,0,14.4
2025-01-30,2,3,RD-06,Kamptee Road,NMC North,6000,2215,48.6,35.9,0.3,20.8,65.5,0,18.9
2025-01-30,2,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1132,51.3,28.7,2.3,26.5,64.9,0,12.8
2025-01-30,2,3,RD-08,Katol Road,NMC North-West,5400,1492,50.7,28.6,1.7,28.2,47.3,0,19.3
2025-01-30,2,3,RD-09,Koradi Road,NMC North,5600,2167,47.8,33.9,1.8,25.6,68.5,0,19.9
2025-01-30,2,3,RD-10,Manewada Road,NMC South-East,5000,2631,52.9,50.7,0.0,30.8,50.0,0,34.2
2025-01-30,2,3,RD-11,Besa Road,NMC South-East,4600,1715,52.0,29.9,0.0,31.1,69.1,0,12.0
2025-01-30,2,3,RD-12,Ring Road - East,NMRDA Ring,7600,1606,49.5,15.8,0.7,29.4,38.9,0,4.9
2025-01-30,3,3,RD-01,Wardha Road (NH-44),NMC South,6000,3343,41.8,55.4,1.4,22.8,84.7,0,32.3
2025-01-30,3,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1456,53.7,19.4,0.6,21.6,60.9,0,16.0
2025-01-30,3,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2338,43.6,41.5,1.0,28.8,50.2,0,28.6
2025-01-30,3,3,RD-04,Airport Road,NMC South,5600,3320,43.0,58.1,0.0,22.8,85.0,0,34.0
2025-01-30,3,3,RD-05,Amravati Road,NMC West,7200,1356,50.7,16.7,0.0,29.4,73.5,0,11.9
2025-01-30,3,3,RD-06,Kamptee Road,NMC North,6000,1779,51.2,33.5,0.0,20.2,48.4,0,21.9
2025-01-30,3,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1054,55.1,22.3,0.0,34.1,50.0,0,14.2
2025-01-30,3,3,RD-08,Katol Road,NMC North-West,5400,1558,51.5,31.0,0.0,23.3,44.8,0,19.0
2025-01-30,3,3,RD-09,Koradi Road,NMC North,5600,1975,52.9,28.4,0.0,32.8,61.2,0,20.6
2025-01-30,3,3,RD-10,Manewada Road,NMC South-East,5000,2610,46.7,51.9,2.0,32.1,53.6,0,26.4
2025-01-30,3,3,RD-11,Besa Road,NMC South-East,4600,1848,50.8,40.9,1.1,25.1,69.7,0,22.8
2025-01-30,3,3,RD-12,Ring Road - East,NMRDA Ring,7600,1690,47.3,23.6,1.0,32.3,49.1,0,17.6
2025-01-30,4,3,RD-01,Wardha Road (NH-44),NMC South,6000,3300,43.1,56.5,0.0,26.3,82.1,0,32.1
2025-01-30,4,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1576,50.1,17.8,0.0,25.3,72.8,0,4.8
2025-01-30,4,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2563,46.2,46.7,0.5,29.7,69.0,0,22.3
2025-01-30,4,3,RD-04,Airport Road,NMC South,5600,3021,38.9,59.7,5.6,23.1,41.4,0,38.9
2025-01-30,4,3,RD-05,Amravati Road,NMC West,7200,1290,46.3,18.5,0.0,21.1,62.4,0,12.0
2025-01-30,4,3,RD-06,Kamptee Road,NMC North,6000,2213,45.8,37.5,0.0,30.7,57.8,0,25.3
2025-01-30,4,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1074,52.6,14.6,0.2,26.5,41.2,0,11.1
2025-01-30,4,3,RD-08,Katol Road,NMC North-West,5400,1584,49.2,28.0,0.0,32.3,46.1,0,14.5
2025-01-30,4,3,RD-09,Koradi Road,NMC North,5600,2200,50.5,43.6,2.1,30.6,25.0,0,25.8
2025-01-30,4,3,RD-10,Manewada Road,NMC South-East,5000,2554,45.0,54.3,0.0,27.2,58.3,0,29.3
2025-01-30,4,3,RD-11,Besa Road,NMC South-East,4600,1893,50.6,42.9,1.0,30.4,44.9,0,19.7
2025-01-30,4,3,RD-12,Ring Road - East,NMRDA Ring,7600,1587,45.3,21.7,4.7,28.8,86.2,0,15.5
2025-01-30,5,3,RD-01,Wardha Road (NH-44),NMC South,6000,3255,48.1,54.6,1.8,32.1,77.3,0,30.3
2025-01-30,5,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1371,50.3,21.0,1.3,29.0,53.7,0,14.8
2025-01-30,5,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2353,45.3,46.2,0.0,28.5,50.0,0,28.9
2025-01-30,5,3,RD-04,Airport Road,NMC South,5600,3546,43.8,62.4,0.2,31.6,95.0,0,39.8
2025-01-30,5,3,RD-05,Amravati Road,NMC West,7200,1285,46.9,19.5,0.0,22.8,76.5,0,6.2
2025-01-30,5,3,RD-06,Kamptee Road,NMC North,6000,2043,49.2,35.9,3.7,16.7,53.9,0,23.8
2025-01-30,5,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1139,53.2,22.6,1.2,29.9,70.5,0,13.6
2025-01-30,5,3,RD-08,Katol Road,NMC North-West,5400,1639,48.0,29.0,0.0,32.1,49.7,0,15.6
2025-01-30,5,3,RD-09,Koradi Road,NMC North,5600,2180,49.3,35.8,0.6,26.9,41.6,0,21.8
2025-01-30,5,3,RD-10,Manewada Road,NMC South-East,5000,2582,49.0,50.7,1.3,36.3,54.7,0,29.3
2025-01-30,5,3,RD-11,Besa Road,NMC South-East,4600,1901,49.8,43.5,0.0,30.2,73.8,0,16.7
2025-01-30,5,3,RD-12,Ring Road - East,NMRDA Ring,7600,1650,56.3,17.6,0.0,29.3,52.1,0,7.4
2025-01-30,6,3,RD-01,Wardha Road (NH-44),NMC South,6000,3131,43.1,50.3,0.0,25.8,53.1,0,32.2
2025-01-30,6,3,RD-02,Outer Ring Road,NMRDA Ring,8500,1465,51.3,19.3,0.0,21.0,69.1,0,20.7
2025-01-30,6,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,2151,49.4,43.9,5.2,28.2,68.7,0,16.6
2025-01-30,6,3,RD-04,Airport Road,NMC South,5600,3363,42.3,59.4,1.9,30.3,62.3,0,31.3
2025-01-30,6,3,RD-05,Amravati Road,NMC West,7200,1197,53.3,17.9,0.6,30.3,46.8,0,9.3
2025-01-30,6,3,RD-06,Kamptee Road,NMC North,6000,2097,45.3,36.8,0.0,31.7,95.0,0,19.8
2025-01-30,6,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1148,51.8,21.0,0.0,26.8,76.2,0,10.7
2025-01-30,6,3,RD-08,Katol Road,NMC North-West,5400,1451,50.7,27.9,1.7,26.9,76.4,0,12.1
2025-01-30,6,3,RD-09,Koradi Road,NMC North,5600,2231,44.4,38.2,0.0,32.6,67.6,0,21.6
2025-01-30,6,3,RD-10,Manewada Road,NMC South-East,5000,2311,49.8,46.0,0.0,29.4,59.5,0,28.4
2025-01-30,6,3,RD-11,Besa Road,NMC South-East,4600,1807,50.3,43.6,0.0,20.7,60.3,0,25.3
2025-01-30,6,3,RD-12,Ring Road - East,NMRDA Ring,7600,1551,53.8,15.6,0.0,29.0,51.0,0,13.7
2025-01-30,7,3,RD-01,Wardha Road (NH-44),NMC South,6000,5274,30.5,87.6,0.0,27.1,62.6,0,52.0
2025-01-30,7,3,RD-02,Outer Ring Road,NMRDA Ring,8500,2213,47.0,24.3,2.4,37.3,71.1,0,12.2
2025-01-30,7,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3372,41.7,66.5,3.7,29.1,60.0,0,42.4
2025-01-30,7,3,RD-04,Airport Road,NMC South,5600,5470,23.6,97.6,2.0,29.2,66.2,1,66.0
2025-01-30,7,3,RD-05,Amravati Road,NMC West,7200,1951,48.4,26.9,4.2,24.5,40.9,0,17.6
2025-01-30,7,3,RD-06,Kamptee Road,NMC North,6000,3053,47.1,51.8,0.0,26.9,43.4,0,33.3
2025-01-30,7,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1705,51.1,34.9,0.0,31.1,61.0,0,23.3
2025-01-30,7,3,RD-08,Katol Road,NMC North-West,5400,2755,45.0,50.1,0.3,25.3,61.6,0,28.7
2025-01-30,7,3,RD-09,Koradi Road,NMC North,5600,3445,41.5,62.8,3.6,26.1,71.5,0,40.5
2025-01-30,7,3,RD-10,Manewada Road,NMC South-East,5000,3836,41.6,78.8,0.0,29.7,65.6,0,44.5
2025-01-30,7,3,RD-11,Besa Road,NMC South-East,4600,2723,45.1,62.4,0.8,27.4,55.9,0,28.3
2025-01-30,7,3,RD-12,Ring Road - East,NMRDA Ring,7600,2422,52.5,31.8,0.0,21.4,69.1,0,14.4
2025-01-30,8,3,RD-01,Wardha Road (NH-44),NMC South,6000,5517,34.4,93.4,3.6,26.6,50.2,0,52.5
2025-01-30,8,3,RD-02,Outer Ring Road,NMRDA Ring,8500,2852,44.1,37.7,0.2,24.6,54.2,0,21.9
2025-01-30,8,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4773,33.8,93.0,0.0,21.7,63.1,1,56.5
2025-01-30,8,3,RD-04,Airport Road,NMC South,5600,5909,29.7,101.8,2.4,28.1,50.1,0,63.4
2025-01-30,8,3,RD-05,Amravati Road,NMC West,7200,2197,43.4,29.7,3.4,28.0,66.1,0,13.6
2025-01-30,8,3,RD-06,Kamptee Road,NMC North,6000,3886,36.4,66.2,1.7,29.2,74.4,0,39.7
2025-01-30,8,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,2067,45.8,39.3,0.0,30.2,77.7,0,18.0
2025-01-30,8,3,RD-08,Katol Road,NMC North-West,5400,2899,47.8,59.6,1.9,24.9,62.7,0,32.5
2025-01-30,8,3,RD-09,Koradi Road,NMC North,5600,4054,40.1,72.8,1.4,28.4,54.0,0,37.0
2025-01-30,8,3,RD-10,Manewada Road,NMC South-East,5000,4594,34.7,89.6,1.2,32.7,70.0,0,54.7
2025-01-30,8,3,RD-11,Besa Road,NMC South-East,4600,3469,39.7,77.5,0.0,26.0,76.5,0,48.8
2025-01-30,8,3,RD-12,Ring Road - East,NMRDA Ring,7600,3103,43.8,41.4,0.0,25.2,61.6,0,27.8
2025-01-30,9,3,RD-01,Wardha Road (NH-44),NMC South,6000,6031,31.3,101.3,0.1,29.3,90.6,0,60.2
2025-01-30,9,3,RD-02,Outer Ring Road,NMRDA Ring,8500,2800,43.9,32.3,0.0,28.0,48.4,0,19.1
2025-01-30,9,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4243,39.5,83.9,0.0,27.8,57.1,0,44.8
2025-01-30,9,3,RD-04,Airport Road,NMC South,5600,6803,29.9,110.0,0.2,31.9,86.1,0,70.6
2025-01-30,9,3,RD-05,Amravati Road,NMC West,7200,2316,48.2,31.8,0.0,28.1,74.3,0,20.6
2025-01-30,9,3,RD-06,Kamptee Road,NMC North,6000,3600,41.8,61.7,1.1,23.8,37.6,0,37.6
2025-01-30,9,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1863,50.9,34.6,5.2,30.7,46.9,0,16.3
2025-01-30,9,3,RD-08,Katol Road,NMC North-West,5400,2757,49.5,50.5,5.2,34.2,38.3,0,29.6
2025-01-30,9,3,RD-09,Koradi Road,NMC North,5600,3809,37.7,67.2,0.2,26.6,87.3,0,38.7
2025-01-30,9,3,RD-10,Manewada Road,NMC South-East,5000,4623,34.6,93.1,3.0,24.1,44.6,0,58.3
2025-01-30,9,3,RD-11,Besa Road,NMC South-East,4600,3458,41.2,73.5,1.9,31.9,41.8,0,47.0
2025-01-30,9,3,RD-12,Ring Road - East,NMRDA Ring,7600,2935,45.9,42.3,0.0,30.9,53.7,0,24.5
2025-01-30,10,3,RD-01,Wardha Road (NH-44),NMC South,6000,5535,32.3,94.6,2.6,28.7,36.7,0,57.7
2025-01-30,10,3,RD-02,Outer Ring Road,NMRDA Ring,8500,2758,42.9,31.7,0.0,29.3,61.4,0,19.9
2025-01-30,10,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,4337,37.0,86.7,0.0,24.0,47.1,0,50.2
2025-01-30,10,3,RD-04,Airport Road,NMC South,5600,6183,27.1,105.9,0.0,28.8,64.1,0,61.1
2025-01-30,10,3,RD-05,Amravati Road,NMC West,7200,2246,45.6,33.1,0.0,33.1,80.9,0,21.1
2025-01-30,10,3,RD-06,Kamptee Road,NMC North,6000,3530,40.7,55.5,3.0,31.1,74.8,0,34.1
2025-01-30,10,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,2087,52.9,40.3,0.7,26.8,67.4,0,29.3
2025-01-30,10,3,RD-08,Katol Road,NMC North-West,5400,3035,41.2,55.9,0.6,33.6,72.6,0,27.6
2025-01-30,10,3,RD-09,Koradi Road,NMC North,5600,4117,35.1,71.7,0.0,28.7,56.0,0,43.2
2025-01-30,10,3,RD-10,Manewada Road,NMC South-East,5000,4571,34.6,92.5,0.0,24.9,72.0,0,51.9
2025-01-30,10,3,RD-11,Besa Road,NMC South-East,4600,3222,46.3,73.2,2.6,30.3,88.0,0,39.8
2025-01-30,10,3,RD-12,Ring Road - East,NMRDA Ring,7600,2899,43.1,39.5,2.8,34.0,32.9,0,25.3
2025-01-30,11,3,RD-01,Wardha Road (NH-44),NMC South,6000,5561,30.5,93.0,0.0,23.5,54.8,0,56.4
2025-01-30,11,3,RD-02,Outer Ring Road,NMRDA Ring,8500,2097,48.6,18.4,0.0,22.2,67.8,0,9.4
2025-01-30,11,3,RD-03,Central Avenue / Sitabuldi,NMC Central,5200,3736,39.2,71.3,0.0,17.9,50.8,0,37.4
2025-01-30,11,3,RD-04,Airport Road,NMC South,5600,4747,39.2,79.0,4.1,27.2,57.2,0,48.0
2025-01-30,11,3,RD-05,Amravati Road,NMC West,7200,1952,47.5,33.0,2.9,23.8,47.7,0,16.4
2025-01-30,11,3,RD-06,Kamptee Road,NMC North,6000,3064,44.5,52.3,0.0,27.0,52.0,0,26.6
2025-01-30,11,3,RD-07,Hingna Industrial Link,NMRDA West-South,4800,1694,49.2,35.5,0.0,20.4,57.3,0,22.9
